bank,portfolio,STAGE,am,rate_init,rate,am19,rate_init19,rate19
CARTU,CORP,ST1_3,42739,0.082,0.0729,2868,0.007,0.0061
CARTU,CORP,ST2_3,35303,0.7664,0.7305,68324,0.6368,0.8911
CARTU,CORP,ST2_1,6791,0.1474,0.1405,6840,0.0638,0.0892
CARTU,CORP,ST3_1,9087,0.0327,0.0276,13076,0.0373,0.0416
CARTU,RETAIL,ST1_2,4995,0.1968,0.2174,1589,0.0442,0.0518
CARTU,RETAIL,ST3_2,94,0.0156,0.0137,20,0.003,0.0031
CARTU,RETAIL,ST1_3,570,0.0225,0.0248,19,0.0005,0.0006
CARTU,RETAIL,ST2_3,2631,3.5894,1.3984,446,0.265,0.3692
CARTU,RETAIL,ST2_1,147,0.2005,0.0781,0,0,0
CARTU,RETAIL,ST3_1,0,0,0,5,0.0007,0.0008
FINCA,SMALL,ST1_2,5746,0.5303,0.5649,1861.7,0.173,0.1724
FINCA,SMALL,ST2_1,1268,3.0724,1.8583,521.7,0.7054,0.9055
FINCA,SMALL,ST2_3,854,2.0693,1.2516,1036.7,1.4017,1.7994
FINCA,SMALL,ST3_2,10.6,0.0043,0.0052,35.4,0.0172,0.0157
FINCA,LARGE,ST1_2,129711,0.7361,0.8343,38420.8,0.1979,0.2075
FINCA,LARGE,ST2_1,32891,2.0041,0.9913,11667,0.7626,0.7358
FINCA,LARGE,ST2_3,12765,0.7778,0.3847,13610.3,0.8896,0.8584
FINCA,LARGE,ST3_2,1496.5,0.1027,0.0951,2198,0.1562,0.1535
